id,category,gender,baseColour,season,usage,noisyTextDescription
51668,Sandal,Men,Tan,Summer,Casual,Clarks Men ComfortSoft Wild Sweat Sandals
40012,Bottomwear,Men,Blue,Summer,Casual,John Players Flora Blue Jeans
56877,Bottomwear,Women,White,Summer,Casual,Scullers For Mud Women White Trousers
42598,Shoes,Men,Black,Summer,Sports,Puma Salvation Silly Enigma Black Sports Deerie
34629,Topwear,Women,Beige,Summer,Casual,Arrow Woman Beige Top
51779,Bottomwear,Girls,Blue,Summer,Casual,Gini and Jony Girls Happy Style Blue Leggings
38487,Innerwear,Women,Pink,Fall,Casual,Enamor Women Weave Pink Bra
8709,Shoes,Men,Black,Summer,Formal,Numero Uno Men Backpack Formal Shoes
24738,Topwear,Women,Green,Summer,Casual,Jealous 21 Women Printed Green 140
45303,Loungewear and Nightwear,Women,Pink,Winter,Casual,Red Rose Women Bike Nightdress
25189,Watches,Unisex,Blue,Winter,Casual,Q&Q Kids Unisex Blue Dial Analog Watch
52827,Topwear,Men,Blue,Summer,Casual,Status Quo Men's Blue Polo T-shirt
13703,Topwear,Men,Red,Summer,Casual,Moss Men's Rider Red T-shirt
22763,Topwear,Men,Red,Summer,Casual,Q&Q Kids 1306 Georgina Dial Analog Watch
37331,Topwear,Boys,Green,Summer,Casual,There Cavalli Women White Watch
52923,Fragrance,Men,Brown,Spring,Casual,Park level Men Padded Deo
4726,Sandal,Men,Grey,Summer,Casual,Arrow Langworth Grey Sandals
22588,Topwear,Men,Blue,Fall,Formal,Mark Taylor Mix Blue & M040-002 Brown Striped Shirt
32414,Topwear,Men,Yellow,Summer,Casual,Myntra P186BR1F Hard work never killed anyone Scarf
24368,Ties,Men,Blue,Summer,Casual,Park Avenue Men Blue Chocolate
